BBRI,Bank Rakyat Indonesia (Persero),Financials
TPIA,Chandra Asri Pacific Tbk.,Basic Materials
ADMR,Alamtri Minerals Indonesia Tbk.,Energy
TOWR,Sarana Menara Nusantara Tbk.,Infrastructures
TBLA,Tunas Baru Lampung Tbk,Consumer Non-Cyclicals
ISSP,Steel Pipe Industry of Indonesi,Basic Materials
BJBR,Bank Pembangunan Daerah Jawa Ba,Financials
PNBN,Bank Pan Indonesia Tbk,Financials
EXCL,XLSMART Telecom Sejahtera Tbk.,Infrastructures
BRIS,Bank Syariah Indonesia (Persero,Financials
BBTN,Bank Tabungan Negara (Persero) ,Financials
BDMN,Bank Danamon Indonesia Tbk.,Financials
TBIG,Tower Bersama Infrastructure Tb,Infrastructures
ARTO,Bank Jago Tbk.,Financials
BTPS,Bank BTPN Syariah Tbk.,Financials
BJTM,Bank Pembangunan Daerah Jawa Ti,Financials
BBNI,Bank Negara Indonesia  (Persero,Financials
ISAT,Indosat Tbk,Infrastructures
BMRI,Bank Mandiri (Persero) Tbk,Financials
MAPI,Mitra Adiperkasa Tbk,Consumer Cyclicals
SURE,Super Energy Tbk.,Energy
LPPF,MDS Retailing Tbk.,Consumer Cyclicals
JKON,Jaya Konstruksi Manggala Pratam,Infrastructures
TOTO,Surya Toto Indonesia Tbk,Industrials
BELI,Global Digital Niaga Tbk.,Technology
KLBF,Kalbe Farma Tbk,Healthcare
^JKSE,IDX COMPOSITE,
BUKA,Bukalapak.com Tbk.,Technology
WIFI,Solusi Sinergi Digital Tbk.,Technology
SCMA,Surya Citra Media Tbk,Consumer Cyclicals
MIDI,Midi Utama Indonesia Tbk.,Consumer Non-Cyclicals
MYOR,Mayora Indah Tbk,Consumer Non-Cyclicals
ICBP,Indofood CBP Sukses Makmur Tbk.,Consumer Non-Cyclicals
AMRT,Sumber Alfaria Trijaya Tbk,Consumer Non-Cyclicals
MAPA,Map Aktif Adiperkasa Tbk.,Consumer Cyclicals
INDF,Indofood Sukses Makmur Tbk,Consumer Non-Cyclicals
SIDO,Industri Jamu dan Farmasi Sido ,Healthcare
GGRM,Gudang Garam Tbk,Consumer Non-Cyclicals
PTBA,Bukit Asam (Persero) Tbk.,Energy
MDKA,Merdeka Copper Gold Tbk.,Basic Materials
BREN,Barito Renewables Energy Tbk.,Infrastructures
